state_census_code,state,sector,observations,employment,members,covered,p_members,p_covered,state_abbreviation,year
13,Vermont,Public,350,46019.19356666668,19677.82003333333,20928.71990833333,0.4276002943515777,0.4547824263572693,VT,2019
13,Vermont,Public,332,46815.40471666663,19427.92045,21634.915249999995,0.4149899184703827,0.4621323943138122,VT,2020
13,Vermont,Public,345,49019.34901666671,19580.303475000008,22402.377391666672,0.3994402885437011,0.4570109248161316,VT,2021
13,Vermont,Public,299,47849.91580833337,20292.19727499998,22429.78771666665,0.4240801036357879,0.468752920627594,VT,2022
13,Vermont,Total,1873,205997.79166666613,25874.25500000003,31483.8241666667,0.1256045252084732,0.1528357416391372,VT,1983
13,Vermont,Total,1885,224377.69250000003,25106.13416666666,33311.58916666666,0.1118922904133796,0.1484621316194534,VT,1984
13,Vermont,Total,1723,222554.53666666668,28462.37083333333,35442.26333333333,0.1278894245624542,0.1592520326375961,VT,1985
13,Vermont,Total,1714,231915.58750000005,25624.60166666666,33805.25999999998,0.1104910746216774,0.1457653641700744,VT,1986
13,Vermont,Total,1786,239431.5408333332,26697.56249999999,31543.94249999998,0.1115039512515068,0.1317451447248459,VT,1987
13,Vermont,Total,1746,243192.0908333332,25893.579166666656,34475.482499999984,0.1064737737178802,0.1417623460292816,VT,1988
13,Vermont,Total,1694,244584.9758333331,29083.54750000001,37266.036666666696,0.1189097911119461,0.1523643732070922,VT,1989
13,Vermont,Total,1583,233435.9999999997,29316.509166666663,35196.03166666668,0.1255869269371032,0.1507737934589386,VT,1990
13,Vermont,Total,1541,234900.96666666595,27163.48583333332,33886.90833333332,0.1156380325555801,0.1442604064941406,VT,1991
13,Vermont,Total,1521,242673.7700000001,25577.25500000002,31553.427500000023,0.1053976938128471,0.1300240606069564,VT,1992
13,Vermont,Total,1441,253375.98583333328,25074.84000000001,30146.073333333345,0.0989629700779914,0.1189776286482811,VT,1993
13,Vermont,Total,1431,242803.66837499992,22738.74348333332,27008.31695833332,0.0936507433652877,0.1112352088093757,VT,1994
13,Vermont,Total,1589,255323.7519250002,23860.530883333347,29445.418000000016,0.0934520587325096,0.1153258085250854,VT,1995
13,Vermont,Total,1618,257414.3291083331,24920.673233333357,29003.095058333354,0.0968115255236625,0.112670861184597,VT,1996
13,Vermont,Total,1594,258092.09735,21839.980599999995,25841.349141666666,0.0846208781003952,0.1001245304942131,VT,1997
13,Vermont,Total,1623,267911.2111083338,25266.14623333333,29370.850216666666,0.0943079069256782,0.1096290424466133,VT,1998
13,Vermont,Total,1618,272538.7508750003,26363.574533333343,29476.98011666667,0.096733309328556,0.1081570237874984,VT,1999
13,Vermont,Total,1634,273571.47229166684,28214.949999999997,33910.27156666667,0.1031355708837509,0.1239539757370948,VT,2000
13,Vermont,Total,2213,276504.1067583332,29680.68074166667,33965.31931666668,0.1073426380753517,0.1228383928537368,VT,2001
13,Vermont,Total,2867,278874.5514499993,26438.294008333345,30395.658425000023,0.0948035344481468,0.1089940220117569,VT,2002
